,name,group-id,name_only
박해영,박해영,2,박해영
황인선,황인선,5,황인선
김주나,김주나,0,김주나
응 씨 카이,응 씨 카이,2,응 씨 카이
강시라,강시라,0,강시라
김소희,김소희,2,김소희
허찬미,허찬미,4,허찬미
기희현,기희현,1,기희현
김다니,김다니,4,김다니
정채연,정채연,4,정채연
박가을,박가을,0,박가을
강시원,강시원,0,강시원
김민정,김민정,4,김민정
김서경,김서경,1,김서경
김시현,김시현,4,김시현
성혜민,성혜민,0,성혜민
박소연,박소연,4,박소연
권은빈,권은빈,2,권은빈
이윤서,이윤서,0,이윤서
전소연,전소연,3,전소연
황수연,황수연,6,황수연
황아영,황아영,0,황아영
강경원,강경원,1,강경원
강예빈,강예빈,3,강예빈
김민경,김민경,1,김민경
박시연,박시연,1,박시연
임나영,임나영,7,임나영
정은우,정은우,4,정은우
주결경,주결경,6,주결경
김청하,김청하,7,김청하
오서정,오서정,4,오서정
안예슬,안예슬,2,안예슬
김연경,김연경,4,김연경
강시현,강시현,0,강시현
한혜리,한혜리,2,한혜리
강미나,강미나,3,강미나
김나영,김나영,2,김나영
김세정,김세정,3,김세정
윤서형,윤서형,6,윤서형
김소혜,김소혜,6,김소혜
김민지,김민지,7,김민지
김형은,김형은,0,김형은
박세희,박세희,2,박세희
이진희,이진희,0,이진희
박하이,박하이,7,박하이
임정민,임정민,7,임정민
김태하,김태하,1,김태하
심채은,심채은,6,심채은
유연정,유연정,1,유연정
윤채경,윤채경,1,윤채경
조시윤,조시윤,7,조시윤
유수아,유수아,4,유수아
아리요시 리사,아리요시 리사,2,아리요시 리사
이수현,이수현,7,이수현
김도연,김도연,4,김도연
이수민,이수민,6,이수민
정해림,정해림,1,정해림
최유정,최유정,7,최유정
추예진,추예진,1,추예진
전소미 ,전소미 ,4,전소미 
윤유담,윤유담,2,윤유담
김하윤,김하윤,2,김하윤
김다정,김다정,0,김다정
편강윤,편강윤,1,편강윤
함예지,함예지,0,함예지
황리유,황리유,0,황리유
마은진,마은진,1,마은진
문현주,문현주,4,문현주
최은빈,최은빈,0,최은빈
김보선,김보선,2,김보선
이서정,이서정,4,이서정
황세영,황세영,1,황세영
김도희,김도희,1,김도희
김솔이,김솔이,2,김솔이
방준희,방준희,1,방준희
안유미,안유미,1,안유미
오한아름,오한아름,1,오한아름
김설아,김설아,6,김설아
남수진,남수진,0,남수진
박민지,박민지,7,박민지
임경하,임경하,6,임경하
김수현,김수현,1,김수현
김시현150,김시현150,1,김시현150
김우정,김우정,4,김우정
김자연,김자연,0,김자연
김지성,김지성,0,김지성
김홍은,김홍은,0,김홍은
이수현88,이수현88,0,이수현88
니와 시오리,니와 시오리,0,니와 시오리
신혜현,신혜현,1,신혜현
이채린,이채린,6,이채린
최유빈,최유빈,2,최유빈
캐서린 리,캐서린 리,2,캐서린 리
한지연,한지연,2,한지연
김윤지,김윤지,0,김윤지
이세흔,이세흔,4,이세흔
김미소,김미소,2,김미소
허샘,허샘,6,허샘
임효선,임효선,0,임효선
서혜린,서혜린,4,서혜린
