,eye_to_eye,eye_width,lip_to_chin,face_width,eyebrow_width,face_height,nose_width,mouth_width,lip_to_nose
박해영,0.51539,0.72163,0.19354000000000002,0.24544000000000002,0.05226,1.0,0.23529,0.29567,0.17263
황인선,0.36007,0.52048,0.25343000000000004,0.21154,0.03537,1.0,0.20701,0.27812,0.21604
김주나,0.46907,0.66437,0.26284,0.2411,0.0407,1.0,0.25062,0.28708,0.22619
응 씨 카이,0.51969,0.7208100000000001,0.25313,0.25206,0.04311,1.0,0.26526,0.33218000000000003,0.20838
강시라,0.47672,0.6815399999999999,0.20629,0.23118000000000002,0.04755,1.0,0.24233000000000002,0.2888,0.21622
김소희,0.49551999999999996,0.68948,0.22200999999999999,0.24525,0.03575,1.0,0.25532,0.34506,0.18946
허찬미,0.46825,0.6677,0.22319,0.22684,0.055029999999999996,1.0,0.24924000000000002,0.36111,0.20751999999999998
기희현,0.46498,0.66238,0.21613000000000002,0.2482,0.04798,1.0,0.27607,0.41631,0.16894
김다니,0.47098999999999996,0.66404,0.2139,0.22816,0.04735,1.0,0.26603000000000004,0.31039,0.17507999999999999
정채연,0.47948999999999997,0.6729999999999999,0.21775999999999998,0.2256,0.03703,1.0,0.264,0.31527,0.18507
박가을,0.47483000000000003,0.68292,0.22314,0.22193000000000002,0.05965,1.0,0.26164,0.29255,0.18151
강시원,0.46058999999999994,0.67247,0.21519000000000002,0.23558,0.0498,1.0,0.22906999999999997,0.29501,0.19332
김민정,0.4665,0.68081,0.27913000000000004,0.24377,0.047889999999999995,1.0,0.27502,0.33269,0.19414
김서경,0.4598,0.65049,0.22609,0.253,0.04022,1.0,0.26835,0.40959,0.18509
김시현,0.48901999999999995,0.69419,0.19489,0.22496999999999998,0.0511,1.0,0.27513000000000004,0.35731,0.17779
성혜민,0.49058999999999997,0.69563,0.22228,0.24067,0.04795,1.0,0.23913,0.27616,0.22391999999999998
박소연,0.46045,0.6501399999999999,0.19161,0.22386,0.04505,1.0,0.26152,0.35444000000000003,0.17119
권은빈,0.49806000000000006,0.70627,0.22676999999999997,0.25083,0.050769999999999996,1.0,0.25625,0.34749,0.19915
이윤서,0.44866999999999996,0.65298,0.2093,0.23845999999999998,0.03963,1.0,0.27166,0.26761,0.23385999999999998
전소연,0.50139,0.69279,0.25158,0.26352,0.04875,1.0,0.28788,0.46718000000000004,0.13697
황수연,0.47166,0.68095,0.26958000000000004,0.25792,0.05149,1.0,0.2941,0.40206,0.15215
황아영,0.47391000000000005,0.6825399999999999,0.21634,0.24095999999999998,0.05092,1.0,0.24206999999999998,0.25768,0.21156999999999998
강경원,0.42601000000000006,0.61775,0.23894,0.25545999999999996,0.05434,1.0,0.2627,0.39854,0.17092000000000002
강예빈,0.46761,0.67992,0.23698000000000002,0.25690999999999997,0.0291,1.0,0.30271,0.47092,0.13923
김민경,0.47515,0.6737,0.23174,0.25672,0.05407000000000001,1.0,0.26087,0.38985,0.16851
박시연,0.45208999999999994,0.62993,0.22729000000000002,0.2519,0.04657,1.0,0.27244,0.44841000000000003,0.16285
임나영,0.51682,0.7321,0.21556999999999998,0.24520999999999998,0.05037,1.0,0.25296,0.42302,0.15065
정은우,0.48277,0.68405,0.22726,0.24145999999999998,0.04283,1.0,0.25315,0.35301,0.19546
주결경,0.49771000000000004,0.70791,0.25026,0.27201,0.05331,1.0,0.2768,0.39691,0.19177
김청하,0.4958,0.71796,0.19096,0.24149,0.05083,1.0,0.28715999999999997,0.41413999999999995,0.14935
오서정,0.46196000000000004,0.6553800000000001,0.21259,0.23445,0.05628,1.0,0.24561999999999998,0.33393,0.16899
안예슬,0.48339,0.70313,0.22855,0.23462,0.0439,1.0,0.25952,0.3577,0.21614
김연경,0.44745,0.64241,0.21119000000000002,0.23125,0.05943,1.0,0.25943,0.31275,0.18045999999999998
강시현,0.46879,0.67594,0.20365,0.23331999999999997,0.052110000000000004,1.0,0.26911,0.2821,0.19494
한혜리,0.49028999999999995,0.69765,0.264,0.24427,0.027219999999999998,1.0,0.25811999999999996,0.33387,0.17185
강미나,0.48527,0.6977,0.20594,0.25755,0.053110000000000004,1.0,0.29341999999999996,0.44971000000000005,0.13689
김나영,0.49911000000000005,0.7105899999999999,0.21731999999999999,0.24578000000000003,0.03945,1.0,0.27935,0.36961,0.19807
김세정,0.47963,0.67482,0.23865,0.24477,0.05103,1.0,0.29874,0.47313,0.15863
윤서형,0.48733000000000004,0.68984,0.25619000000000003,0.26198,0.03594,1.0,0.28864,0.3999,0.16047
김소혜,0.50902,0.72745,0.25768,0.26415,0.05628,1.0,0.27799,0.39651,0.18325
김민지,0.56995,0.77877,0.20278,0.25049,0.05099,1.0,0.28404,0.4145,0.17701
