name,agency,vote_1,vote_2,expo_1,expo_2,imp_1,imp_2,neg_1,order_name,order_agency,level_1,level_2,age,height,visual,agency_category,id,thumb_pic_url,agency_member_count,is_ranker_same_agency_1,is_ranker_same_agency_2
김세정,Jellyfish(젤리피쉬),559694,1473685,105,104,39,8,0,0,0,5,5,20,164.0,1,3,88,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/4a1a44a4-68f2-4762-bc0e-7e40da45b3fa-3-3-젤리피쉬-김세정.png,3,1,1
전소미,JYP,528772,1201490,171,63,49,21,0,0,0,5,4,15,168.0,1,3,40,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/a5eee741-ef09-4d36-a927-34c428fed280-1.JYP-전소미.png,1,0,0
최유정,판타지오,392773,1286447,134,71,10,50,0,0,0,2,5,17,159.0,0,3,42,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/b25bc0dc-290d-4214-bb15-9148a1b39c7e-5.판타지오-최유정.png,5,1,1
주결경,PLEDIS(플레디스),387537,885556,6,31,13,3,0,0,0,5,5,18,166.0,1,3,136,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/a2e22e6b-e9ee-41a1-89d7-a36cf2b52f27-4-7-플레디스-주결경.png,7,1,1
강미나,Jellyfish(젤리피쉬),376977,1212720,34,100,33,8,0,1,0,5,5,17,162.0,0,3,90,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/2837897d-557c-4de8-aaa0-0a4fd17f4e46-3-1-젤리피쉬-강미나.png,3,1,1
기희현,MBK,294540,481070,91,19,26,5,0,1,0,3,5,21,167.0,1,3,187,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/aec55eed-589f-49a8-8ab1-fa76e9cefa89-6-1-MBK-기희현.png,3,1,1
김다니,MBK,273930,419427,52,9,28,1,0,1,0,4,5,17,172.0,0,3,186,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/60e83767-1d80-4d81-a3ea-6e3994230407-6-2-MBK-김다니.png,3,1,1
정채연,MBK,251469,696808,10,34,21,4,0,0,0,3,3,19,166.0,1,3,185,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/6dc4335b-8e92-4724-b9a9-976b31149649-6-3-MBK-정채연.png,3,1,1
김나영,Jellyfish(젤리피쉬),250552,931084,65,44,28,5,0,1,0,5,5,21,169.0,0,3,89,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/7e9126c7-e363-4049-bff9-5a37dba130c0-3-2-젤리피쉬-김나영.png,3,1,1
전소연,CUBE,230395,372952,54,27,33,8,0,0,1,5,5,18,157.0,0,3,162,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/042287ff-8497-4e43-a9e2-089dc95d0d50-5-3-CUBE-전소연.png,3,1,0
김소혜,REDLINE(레드라인),227670,833101,163,128,40,15,0,0,0,1,1,17,163.0,0,2,72,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/671f6d5d-4d74-4084-9813-5fad71a570bb-2-12.레드라인-김소혜.png,1,0,0
유연정,스타쉽 ,214691,684660,58,54,8,1,0,0,0,4,5,17,167.0,0,3,63,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/4447746f-07af-4b01-af8e-004ee68df08a-2-5.스타쉽-유연정.png,3,0,1
김도연,판타지오,203007,841749,39,3,12,27,0,0,0,4,5,17,170.0,1,3,45,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/8d9c111c-3eff-4eaa-b5ae-1680eb88686d-2.판타지오-김도연.png,5,1,1
김청하,M&H,193820,462668,69,15,5,54,0,0,0,5,5,20,161.0,0,2,103,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/dca36004-aff4-407e-b506-e16072c544e4-3-15-M&H-김청하.png,2,0,0
허찬미,더블킥 ,184926,249026,133,36,63,11,1,0,0,5,4,24,161.0,0,2,188,http://static.global.mnet.com/data/od/images/globalmnet/program/p101/photo/131x131/572fa137-1418-48d1-ac79-259721040e9a-6-4-더블킥-컴퍼니-허찬미.png,1,0,0
