name,vote_1,vote_2,age,agency,comment
김세정,559694.0,1473685.0,20.0,Jellyfish(젤리피쉬),미모+노래+춤! 재능부자
전소미,528772.0,1201490.0,15.0,JYP,충전완료! 긍정 비타민
최유정,392773.0,1286447.0,17.0,판타지오,현웃 예능감 탑재
주결경,387537.0,885556.0,18.0,PLEDIS(플레디스),니하오! 대륙의 주예보스
강미나,376977.0,1212720.0,17.0,Jellyfish(젤리피쉬),제주 소녀! ‘미나’옵서예
기희현,294540.0,481070.0,21.0,MBK,프리티 랩스타
김다니,273930.0,419427.0,17.0,MBK,무한긍정! 해피 바이러스
정채연,251469.0,696808.0,19.0,MBK,반짝반짝 눈이 부셔연
김나영,250552.0,931084.0,21.0,Jellyfish(젤리피쉬),흐허허~ 복세편살녀
전소연,230395.0,372952.0,18.0,CUBE(큐브),Oh 랩생랩사 Oh
김소혜,227670.0,833101.0,17.0,REDLINE(레드라인),4차원 쓰.줍.녀
유연정,214691.0,684660.0,17.0,스타쉽 ,성대에 로열젤리
김도연,203007.0,841749.0,17.0,판타지오,강원도에서 왔도연~ 
김청하,193820.0,462668.0,20.0,M&H,섹시 반전! JYP가 놓친 인재
허찬미,184926.0,249026.0,24.0,더블킥 ,돌아온 별빛 찬미
권은빈,179721.0,310972.0,16.0,CUBE(큐브),내가 바로 HOT ISSUE
응 씨 카이,176067.0,298495.0,22.0,초록뱀주나,워쓰 미간 여신 쉬먀
정은우,175904.0,438879.0,18.0,PLEDIS(플레디스),Mnet 전문 서바이벌 마스터
김주나,161825.0,371978.0,22.0,music K ,Music is my life!
박소연,156148.0,289217.0,17.0,LOEN (로엔),내가 바로 로엔의 K팝스타
윤채경,149977.0,460700.0,20.0,DSP,칠전팔기 베이비카라
한혜리,125095.0,450768.0,19.0,Star Empire(스타제국),삼촌 팬들! 무장해제
김소희,109501.0,363818.0,21.0,뮤직웍스,입덕환영 탈덕금지
임나영,107785.0,665898.0,21.0,PLEDIS(플레디스),한여름 밤의 꿀나영 
안예슬,106322.0,301814.0,21.0,MAJESTY(마제스티) ,보여줄게 완전히 달라진 나
박시연,105963.0,372295.0,16.0,PLEDIS(플레디스),플레디스 막내 온 탑
조시윤,102110.0,146681.0,20.0,DSP,DSP의 순수 밀크녀
강예빈,88277.0,250556.0,18.0,PLEDIS(플레디스),강 to the 예 to the 빈
윤서형,73558.0,187021.0,21.0,&August(&어거스트),백설백설 엘프녀
김서경,72474.0,300125.0,17.0,개인연습생,똘망똘망 치킨덕후 
강경원,71200.0,118171.0,19.0,PLEDIS(플레디스),빛나는 페이스펙
이수현,65610.0,228806.0,20.0,SS,바른 생활 순두부녀
이수현,65610.0,228806.0,20.0,Happyface(해피페이스),오구오구! 댄싱 귀요미
김태하,64149.0,117208.0,18.0,스타쉽 ,태어나보니 오빠가 시아준수
김민지,63132.0,133093.0,23.0,Kconic(케이코닉),눈웃음 일발 장전! 훗훗훗
김시현,60090.0,150271.0,17.0,Happyface(해피페이스),춤추는 스누피
김시현,60090.0,150271.0,17.0,개인연습생,모찌 뇌.순.녀
황인선,59736.0,256387.0,27.0,쇼웍스 ,S대 고학력 끼부자
김형은,59191.0,332712.0,22.0,Kconic(케이코닉),이 구역의 센 언니
이윤서,56821.0,73702.0,14.0,CUBE(큐브),최연소! 만 13짤이에요
강시원,56224.0,206504.0,20.0,개인연습생,속 ‘시원’하게 입덕요망!
이해인,52494.0,461050.0,22.0,SS,스르륵~ 나왔다능
오서정,51381.0,117986.0,21.0,M&H,슈퍼스타K4 설리
김민경,50652.0,141623.0,19.0,PLEDIS(플레디스),빵야! 까탈레나 남심저격
박해영,47662.0,172797.0,18.0,투에이블컴퍼니,춤부심 끝판왕
정해림,43960.0,119148.0,18.0,판타지오,상큼 발랄 태권소녀
이수민,43932.0,243513.0,17.0,판타지오,얌전녀의 반전 보이스
박가을,41873.0,103784.0,17.0,Astory(애스토리),걸그룹을 사랑한 발레 소녀
이진희,41286.0,99712.0,25.0,Kconic(케이코닉),탈덕아 잠시 동안 멈춰줄래♬
아리요시 리사,41244.0,95712.0,23.0,티핑 ,자체발광 역대급 비주얼
박세희,41203.0,133442.0,23.0,Kconic(케이코닉),걸크러쉬! P군 여동생
추예진,41048.0,126296.0,15.0,판타지오,CHU~♥ 예진 꿈꿔또
김민정,39033.0,127877.0,14.0,개인연습생,Born to be a Dancer
김연경,38506.0,74668.0,20.0,MIDAS(마이다스) ,낄.끼.빠.빠! 센 언니
임정민,36760.0,88074.0,16.0,YAMA&HOTCHICKS(야마&핫칙스),댄스 DNA 탑재
박하이,34459.0,106057.0,28.0,케니스타,조연 배우 아닌 주연으로!
성혜민,33641.0,329366.0,27.0,개인연습생,심쿵유발 HOT BODY
황수연,30858.0,158248.0,24.0,Happyface(해피페이스),무릎 주의! 해.페.실세 1위
유수아,30609.0,100141.0,19.0,MJ ,Shake it! 댄스 타임
심채은,30347.0,72460.0,17.0,스타쉽 ,멍뭉미 심트리버
강시라,29703.0,290109.0,25.0,청춘뮤직,지금은~ 시라시대
강시현,29124.0,65368.0,18.0,Star Empire(스타제국),꼬미 꼬미 쪼꼬미
황아영,28223.0,89095.0,21.0,Happyface(해피페이스),대세녀 황정음과 연결고리
김다정,28000.0,,21.0,안녕뮤직,네 마음속 빼박캔트
안유미,27793.0,,19.0,블레싱  ,머리부터 발끝까지 발랄유미C
김시현,27656.0,150271.0,17.0,Happyface(해피페이스),춤추는 스누피
김시현,27656.0,150271.0,17.0,개인연습생,모찌 뇌.순.녀
서혜린,27333.0,,21.0,SS,읏 차거! 얼음공주
황리유,27042.0,,18.0,nh emg,제2의 CL은 It’s me
황세영,26981.0,,22.0,LOUDers(라우더스),고마해라 준비됐다 아이가~
김지성,26566.0,,20.0,Happyface(해피페이스),싱크로율 99%! 리틀 한가인
김수현,26139.0,,16.0,미스틱,윤종신 사단의 1호 걸그룹
최은빈,25659.0,,23.0,넥스타,어차피 우승은?!
박민지,24772.0,,17.0,매직 프레쉬,진정한 뇌섹녀는 바로 나
함예지,24485.0,,22.0,스타플레닛,털털한 B형 여자
김미소,24114.0,,16.0,MJ ,부끄부끄 부끄러웡♥
김우정,23795.0,,24.0,Happyface(해피페이스),백업은 이제 그만!
허샘,23722.0,,23.0,MJ ,보이스 포텐녀
한지연,23566.0,,21.0,MIDAS(마이다스) ,센터 is mine!
니와 시오리,23045.0,,22.0,MAJESTY(마제스티) ,大すきK-POP
